"Dewater","Spawn_Flows","Prop_dewater","Boards","Run"
27000,25000,NA,"in","Fall"
25000,25000,NA,"in","Fall"
23000,25000,0.01,"in","Fall"
21000,25000,0.02,"in","Fall"
19000,25000,0.05,"in","Fall"
17000,25000,0.06,"in","Fall"
15000,25000,0.09,"in","Fall"
14000,25000,0.1,"in","Fall"
13000,25000,0.11,"in","Fall"
12000,25000,0.12,"in","Fall"
11000,25000,0.13,"in","Fall"
10000,25000,0.15,"in","Fall"
9000,25000,0.17,"in","Fall"
8000,25000,0.2,"in","Fall"
7500,25000,0.21,"in","Fall"
7000,25000,0.22,"in","Fall"
6500,25000,0.24,"in","Fall"
6000,25000,0.27,"in","Fall"
5500,25000,0.32,"in","Fall"
5250,25000,0.35,"in","Fall"
5000,25000,0.41,"in","Fall"
4750,25000,0.45,"in","Fall"
4500,25000,0.48,"in","Fall"
4250,25000,0.51,"in","Fall"
4000,25000,0.53,"in","Fall"
3750,25000,0.54,"in","Fall"
3500,25000,0.56,"in","Fall"
3250,25000,0.57,"in","Fall"
29000,27000,NA,"in","Fall"
27000,27000,NA,"in","Fall"
25000,27000,0.01,"in","Fall"
23000,27000,0.02,"in","Fall"
21000,27000,0.03,"in","Fall"
19000,27000,0.05,"in","Fall"
17000,27000,0.07,"in","Fall"
15000,27000,0.09,"in","Fall"
14000,27000,0.1,"in","Fall"
13000,27000,0.11,"in","Fall"
12000,27000,0.12,"in","Fall"
11000,27000,0.13,"in","Fall"
10000,27000,0.14,"in","Fall"
9000,27000,0.17,"in","Fall"
8000,27000,0.19,"in","Fall"
7500,27000,0.21,"in","Fall"
7000,27000,0.22,"in","Fall"
6500,27000,0.24,"in","Fall"
6000,27000,0.27,"in","Fall"
5500,27000,0.32,"in","Fall"
5250,27000,0.35,"in","Fall"
5000,27000,0.41,"in","Fall"
4750,27000,0.46,"in","Fall"
4500,27000,0.49,"in","Fall"
4250,27000,0.52,"in","Fall"
4000,27000,0.54,"in","Fall"
3750,27000,0.56,"in","Fall"
3500,27000,0.57,"in","Fall"
3250,27000,0.59,"in","Fall"
29000,29000,NA,"in","Fall"
27000,29000,0.01,"in","Fall"
25000,29000,0.03,"in","Fall"
23000,29000,0.04,"in","Fall"
21000,29000,0.05,"in","Fall"
